Values of n,Insertion Sort,MergeSort,HybridMergeSort,SelectionSort,BubbleSort
100,0.001010418,0,0,0,0.001000881
1000,0.051513433,0.00374198,0.001500845,0.034625292,0.044721603
5000,1.368644238,0.017611027,0.00905323,0.802732944,1.085108757
10000,5.578636169,0.053787708,0.022371054,6.369069815,13.01122141
20000,44.76282215,0.071354866,0.043999672,24.11470771,23.84530091
30000,59.41255307,0.120892763,0.061848164,38.55531478,45.26292372
40000,151.3119209,0.268365383,0.173019409,107.2214317,154.2538424
50000,212.5592327,0.367366314,0.207157612,179.3371935,260.7921519
60000,226.1438498,0.226886034,0.147255421,117.9477918,148.0322559
100000,448.8904238,0.371881485,0.224526644,1255.308686,1178.466633
